date,team,opponent,GF,GA,pre_rating_team,pre_rating_opponent,did_score_team,fail_to_score_team,did_receive_goal_team,not_receive_goal_team,GF_last_5_team,GA_last_5_team,qatar,magic_johnson_team,rating_team,did_score_opponent,fail_to_score_opponent,did_receive_goal_opponent,not_receive_goal_opponent,GF_last_5_opponent,GA_last_5_opponent,magic_johnson_opponent,rating_opponent
2021-10-14,Colombia,Ecuador,0,0,1935,1771,3,2,3,2,5,3,FALSE,0.719919005947152,1922,3,2,2,3,6,3,0.280080994052848,1784
2021-10-10,Colombia,Brazil,0,0,1920,2141,4,1,4,1,8,5,FALSE,0.218884597270038,1937,4,1,2,3,7,2,0.781115402729962,2124
2021-09-09,Colombia,Chile,3,1,1892,1796,4,1,4,1,6,5,FALSE,0.634743335052317,1914,1,4,4,1,1,5,0.365256664947683,1774
2021-07-09,Colombia,Peru,3,2,1897,1832,3,2,3,2,3,5,FALSE,0.592466230584332,1921,4,1,4,1,8,7,0.407533769415668,1808
2021-07-03,Colombia,Uruguay,0,0,1877,1925,4,1,3,2,5,6,FALSE,0.431358608116332,1881,3,2,2,3,4,2,0.568641391883668,1921
2021-06-17,Colombia,Venezuela,0,0,1949,1768,4,1,3,2,7,11,FALSE,0.739220254140668,1935,2,3,4,1,3,8,0.260779745859332,1782
2021-06-13,Colombia,Ecuador,1,0,1912,1795,4,1,4,1,8,13,FALSE,0.662287797430889,1932,4,1,5,0,12,8,0.337712202569111,1775
2021-06-08,Colombia,Argentina,2,2,1912,1946,4,1,3,2,9,11,FALSE,0.451225664140258,1915,5,0,3,2,7,3,0.548774335859742,1943
2020-11-13,Colombia,Uruguay,0,3,1974,1833,4,1,3,2,12,5,FALSE,0.692463392579518,1932,3,2,5,0,7,11,0.307536607420482,1875
2022-03-25,Comoros,Ethiopia,2,1,1269,1358,3,2,5,0,5,9,FALSE,0.374648606692463,1307,4,1,5,0,6,9,0.625351393307537,1320
2022-01-18,Comoros,Ghana,3,2,1241,1568,3,2,3,2,4,5,FALSE,0.132117654239364,1293,3,2,4,1,3,6,0.867882345760636,1516
2021-09-07,Comoros,Burundi,1,0,1254,1268,3,2,4,1,10,11,FALSE,0.479863277964184,1285,3,2,5,0,13,8,0.520136722035817,1237
2020-11-15,Comoros,Kenya,2,1,1198,1429,4,1,5,0,7,6,FALSE,0.209201897202762,1245,4,1,2,3,7,2,0.790798102797238,1382
2022-06-08,Congo,Gambia,1,0,1261,1452,3,2,5,0,3,12,FALSE,0.249836518171358,1306,4,1,3,2,5,5,0.750163481828642,1407
2022-06-05,Costa Rica,Martinique,2,0,1725,1392,4,1,2,3,6,3,FALSE,0.871792578033144,1733,5,0,5,0,10,16,0.128207421966856,1384
2022-03-30,Costa Rica,United States,2,0,1750,1858,4,1,1,4,5,1,FALSE,0.349395372066128,1789,3,2,2,3,9,3,0.650604627933873,1819
